beq, 1100011, 000
bne, 1100011, 001
blt, 1100011, 100
bge, 1100011, 101
bltu, 1100011, 110
bgeu, 1100011, 111
jalr, 1100111, 000
jal, 1101111
lui, 0110111
auipc, 0010111
addi, 0010011, 000
slli, 0010011, 001
slti, 0010011, 010
sltiu, 0010011, 011
xori, 0010011, 100
srli, 0010011, 101
srai, 0010011, 101
ori, 0010011, 110
andi, 0010011, 111
add, 0110011, 000
sub, 0110011, 000
sll, 0110011, 001
slt, 0110011, 010
sltu, 0110011, 011
xor, 0110011, 100
srl, 0110011, 101
sra, 0110011, 101
or, 0110011, 110
and, 0110011, 111
addiw, 0011011, 000
slliw, 0011011, 001
srliw, 0011011, 101
sraiw, 0011011, 101
addw, 0111011, 000
subw, 0111011, 000
sllw, 0111011, 001
srlw, 0111011, 101
sraw, 0111011, 101
lb, 0000011, 000
lh, 0000011, 001
lw, 0000011, 010
ld, 0000011, 011
lbu, 0000011, 100
lhu, 0000011, 101
lwu, 0000011, 110
sb, 0100011, 000
sh, 0100011, 001
sw, 0100011, 010
sd, 0100011, 011
